source,rss_url,premium,returned,article_count
FEBA,https://www.eurofoodbank.org/feed/,no,yes,10
Federal Emergency Management Agency (FEMA),,no,no,0
FIDH,https://www.fidh.org/spip.php?page=backend,no,yes,10
Flash Art,https://flash---art.com/feed/,no,yes,12
Fodor's,https://www.fodors.com/feed,no,yes,97
FOE.org,,no,no,0
Food Ingredients First,https://resource-cns.cnsmedia.com/rss/fifnews.xml,no,yes,50
Food Navigator,https://www.foodnavigator.com:443/arc/outboundfeeds/rss/,no,yes,20
Food Navigator USA,https://www.foodnavigator.com/arc/outboundfeeds/rss/,no,yes,20
Food Navigator- Asia,https://www.foodnavigator.com/arc/outboundfeeds/rss/,no,yes,20
Forbes,https://www.forbes.com/most-popular/feed/,yes,yes,11
Forbes Traveler,,no,no,0
Foreign Affairs,https://www.foreignaffairs.com/rss.xml,no,yes,20
Fortune,https://fortune.com/feed/,yes,yes,10
Forward,https://forward.com/feed/,no,yes,20
Fos Feminista,,no,no,0
Fox News,https://moxie.foxnews.com/google-publisher/latest.xml,no,yes,25
FRAC,https://frac.org/feed/,no,yes,5
France24 (EN),https://www.france24.com/en/rss,no,yes,22
Freedom House,https://freedomhouse.org/rss.xml,no,yes,10
Frommer's,,no,no,0
Gay Times,https://www.gaytimes.com/feed/,no,yes,15
GayLesbianReview,https://glreview.org/feed/,no,yes,10
GLAAD,https://glaad.org/feed/,no,yes,200
Global Citizen,https://www.globalcitizen.org:443/content/feed/,no,yes,50
Global TV,https://globalnews.ca/feed/,no,yes,10
Global Voices,,no,no,0
Globe and Mail,https://www.theglobeandmail.com/arc/outboundfeeds/rss/category/canada/,no,yes,100
Globes,https://www.globes.co.il/webservice/rss/rssfeeder.asmx/FeederNode?iID=1725,no,yes,93
Good Good Good,https://www.goodgoodgood.co/articles/rss.xml,no,yes,100
Good Morning America,,no,no,0
Good News Network,https://www.goodnewsnetwork.org/feed/,no,yes,50
Good Things Guy,,no,no,0
Good360,https://good360.org/feed/,no,yes,10
GoodNet,,no,no,0
Greenpeace International,https://www.greenpeace.org/international/feed/,no,yes,10
Greenpeace UK,https://www.greenpeace.org.uk/feed/,no,yes,10
Grist Magazine,https://grist.org/feed/,no,yes,20
Gulf Daily News,,no,no,0
Gulf News,https://gulfnews.com/feed/,no,yes,12
Gulf Times,https://www.gulf-times.com/rssFeed/9,no,yes,50
Haaretz,https://www.haaretz.com/srv/haaretz-latest-headlines,yes,yes,100
Habitat4Humanity,https://www.habitat.org/rss.xml,no,yes,10
Harvard Pol Rvw,https://harvardpolitics.com/feed/,no,yes,10
Harvard School of Public Health,https://hsph.harvard.edu/feed/,no,yes,10
HarvardLawToday,https://hls.harvard.edu/feed/,no,yes,50
Health Policy Watch,https://healthpolicy-watch.news/feed/,no,yes,10
Heinrich Boll Foundation,https://www.boell.de/rss.xml,no,yes,10
HIAS,https://hias.org/feed/,no,yes,10
HiltonFoundation,,no,no,0
Hispanic Caucus,https://chc.house.gov/rss.xml,no,yes,10
HRC,,no,no,0
HRWF,https://hrwf.eu/feed/,no,yes,10
Huffington Post,,no,no,0
Huffington Post (UK),https://www.huffingtonpost.co.uk/feeds/index.xml,no,yes,49
Human Rights First,,no,no,0
HumanRightsHouse,https://humanrightshouse.org/feed/,no,yes,10
Hurriyet,,no,no,0
Hyperallergic,https://hyperallergic.com/feed/,no,yes,15
i24 News,,no,no,0
IADB,,no,no,0
IAS,,no,no,0
ICAO,,no,no,0
ICCT,https://theicct.org/feed/,no,yes,10
IDA,https://www.internationaldisabilityalliance.org/rss.xml,no,yes,10
IEA,,no,no,0
IFAD,,no,no,0
IISD,,no,no,0
ILGA,https://ilga.org/feed/,no,yes,1
IMF,,no,no,0
IMF Blog,,no,no,0
IMO,,no,no,0
Impakter,https://impakter.com/feed/,no,yes,12
Infectious Disease Advisor,,no,no,0
Infectious Diseases Society of America,,no,no,0
Inside Climate,,no,no,0
Inside Phil,,no,no,0
Inter Press Service,https://www.ipsnews.net/feed/,no,yes,35
International Atomic Energy Agency,https://www.iaea.org/feeds/topnews,no,yes,15
International Business Times,https://www.ibtimes.com/rss,no,yes,25
International Committee of the Red Cross,https://www.icrc.org/en/rss/general,no,yes,100
International Consortium of Investigative Journalists,https://www.icij.org/feed/,no,yes,11
International Federation of Red Cross and Red Crescent Societies,https://ifrc.org/rss.xml,no,yes,10
International Institute for Environment and Development,,no,no,0
"International Institute of Race, Equality and Human Rights",https://raceandequality.org/feed/,no,yes,2
International Labor Organization ILO,,no,no,0
International Medical Corps,https://internationalmedicalcorps.org/feed/,no,yes,10
International Olympic Committee,,no,no,0
International Paralympic Committee,https://www.paralympic.org/rss.xml,no,yes,10
International Rescue Committee,,no,no,0
International Trade Centre,https://intracen.org/rss.xml,no,yes,10
Intl Fin Corp,,no,no,0
Iran PressTV,,no,no,0
Iraqi News,https://www.iraqinews.com/feed/,no,yes,10
Iraqi News Agency,https://ina.iq/rss.xml,no,yes,13
Israel Hayom.en,https://www.israelhayom.com/feed/,no,yes,10
Israel Today,https://www.israeltoday.co.il/feed/,no,yes,8
ITU,https://www.itu.int/hub/feed/,no,yes,12
JCPA,,no,no,0
Jerusalem Post,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,no,yes,26
Jewish Chronicle,https://www.thejc.com/rss,no,yes,100
Jewish Exponent,https://www.jewishexponent.com/feed/,no,yes,10
Jewish Insider,https://jewishinsider.com/feed/,no,yes,43
Jewish News Syndicate,https://www.jns.org/feed/,no,yes,30
Jewish News Weekly,https://jweekly.com/feed/,no,yes,20
Jewish Press,https://www.jewishpress.com/feed/,no,yes,10
John Hopkins University,https://hub.jhu.edu/feed/,no,yes,20
Joint Center,https://jointcenter.org/feed/,no,yes,10
Jordan Times,,no,no,0
JordanNewsAgency (Petra),,no,no,0
Khaleej Times,https://www.khaleejtimes.com/api/v1/collections/top-section.rss,no,yes,17
Kurdistan 24.en,,no,no,0
Kuwait News Agency (EN),,no,no,0
Kuwait Times,https://kuwaittimes.com/rssFeed/0,no,yes,50
Leadership Conf,https://civilrights.org/feed/,no,yes,10
LGBTQ Nation,https://www.lgbtqnation.com/feed/,no,yes,15
Liberty Hill,,no,no,0
Life Gate,https://www.lifegate.com/feed,no,yes,30
LiveScience.com,https://www.livescience.com/feeds/all,no,yes,50
London School of Economics,,no,no,0
Lonely Planet,,no,no,0
Los Angeles Times,https://www.latimes.com/rss2.0.xml,yes,yes,57
LSE Biz Review,https://blogs.lse.ac.uk/businessreview/feed/,no,yes,10
L’Orient‑Le Jour,,no,no,0
Mashable,https://mashable.com/feeds/rss/all,no,yes,100
MDAA,https://www.mda.org/rss.xml,no,yes,10
Media Line,https://themedialine.org/feed/,no,yes,10
Mehr News,https://en.mehrnews.com/rss,no,yes,30
MEMRI,,no,no,0
Mercy Corps,https://www.mercycorps.org/rss.xml,no,yes,10
Miami Herald,,no,no,0
Middle East Eye,https://www.middleeasteye.net/rss,no,yes,20
Middle East Inst,,no,no,0
Middle East Online,https://middle-east-online.com/rss,no,yes,2
MiddleEastPolicy,https://mepc.org/feed/,no,yes,10
Milken Institute,https://milkeninstitute.org/rss.xml,no,yes,10
MIT News,https://news.mit.edu/rss/feed,no,yes,50
Mongabay,https://news.mongabay.com/feed/,no,yes,32
Mosaic Magazine,,no,no,0
MS NOW,https://www.ms.now/feed,no,yes,10
Ms. Magazine,https://msmagazine.com/feed/,no,yes,10
MTV Lebanon,,no,no,0
My Modern Met,https://mymodernmet.com/feed/,no,yes,10
NAACP,,no,no,0
NAACP Legal Defense Fund,https://www.naacpldf.org/feed/,no,yes,8
Naharnet,https://naharnet.com/tags/lebanon/en/feed.atom,no,yes,10
NAHH,https://www.healthyamericas.org/blog-feed.xml,no,yes,20
NASA,https://www.nasa.gov/rss/dyn/breaking_news.rss,no,yes,10
National Council on Disability (NCD),https://ncd.gov/feed.xml,no,yes,10
National Geographic,,no,no,0
National Institute for Health and Care Excellence,,no,no,0
National Institutes of Health,,no,no,0
National Parks Traveler,https://www.nationalparkstraveler.org/rss.xml,no,yes,10
National Public Radio (NPR),https://feeds.npr.org/1001/rss.xml,no,yes,10
National Science Foundation (NSF),https://www.nsf.gov/rss/rss_www_news.xml,no,yes,15
National Wildlife Federation,https://blog.nwf.org/feed/,no,yes,10
Natl Endow Arts,https://www.arts.gov/rss.xml,no,yes,10
NATO,,no,no,0
Nature,https://www.nature.com/nature.rss,no,yes,75
Nature Conservancy,,no,no,0
NBC News,https://feeds.nbcnews.com/nbcnews/public/news,no,yes,19
NBC Olympics,,no,no,0
NBC Sports,https://www.nbcsports.com/index.atom,no,yes,4
NEA,,no,no,0
NEH,,no,no,0
New Humanitarian,https://www.thenewhumanitarian.org/feed/,no,yes,10
New Scientist,https://www.newscientist.com/feed/home/,no,yes,10
New York Post,https://nypost.com/feed/,yes,yes,20
New York Times,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,yes,yes,19
New Yorker,https://www.newyorker.com/feed/everything,no,yes,50
Newark Star-Ledger,https://www.nj.com/arc/outboundfeeds/rss/?outputType=xml,no,yes,50
news.com.au,,no,no,0
News24,,yes,no,0
Newser,http://rss.newser.com/rss/section/1.rss,no,yes,9
Newswise,https://feeds.feedburner.com/NewswiseLatestNews,no,yes,25
Next City,https://nextcity.org/feeds/features,no,yes,20
NHLC,https://homelesslaw.org/feed/,no,yes,10
Nice News,https://nicenews.com/feed/,no,yes,10
NMQF,https://www.nmqf.org/feed/,no,yes,10
Nobel Foundation,https://www.nobelprize.org/feed/,no,yes,10
Nonprofit Quarterly,https://nonprofitquarterly.org/feed/,no,yes,12
NUL,,no,no,0
Obama Foundation,,no,no,0
Oceana,https://oceana.org/feed/,no,yes,10
Oman Daily Observer,https://www.omanobserver.om/rssFeed/home-page,no,yes,80
Oman News Agency,https://omannews.gov.om/rss.ona,no,yes,100
Optimist Daily,https://www.optimistdaily.com/feed/,no,yes,10
Organization for Security and Co-operation in Europe,,no,no,0
Our World in Data,https://ourworldindata.org/atom.xml,no,yes,10
Oxford University,,no,no,0
Palestine Chronicle,,no,no,0
Palestinian News & Info Agency.en,,no,no,0
People Magazine,,no,no,0
Pew Charitable Trusts,,no,no,0
Pew Research,https://www.pewresearch.org/feed/,no,yes,100
Philadelphia Inquirer,https://www.inquirer.com/arc/outboundfeeds/rss/?outputType=xml,no,yes,100
Phocuswire,,no,no,0
PhysOrg.com,https://phys.org/rss-feed/,no,yes,30
PNN,https://english.pnn.ps/feed/,no,yes,20
Popular Science,https://www.popsci.com/feed/,no,yes,73
Positive News,https://www.positive.news/feed/,no,yes,10
Princeton,https://www.princeton.edu/feed,no,yes,30
Public Broadcasting Service,,no,no,0
Public Radio International,https://theworld.org/rss,no,yes,10
Pulitzer Center,,no,no,0
Qatar News Agency,,no,no,0
Qatar Peninsula,,no,no,0
Race Forward,https://www.raceforward.org/rss.xml,no,yes,10
Radio France International.en,https://www.rfi.fr/en/rss,no,yes,22
Radio Free Asia,https://www.rfa.org/english/rss2.xml,no,yes,30
Radio Free Europe,https://www.rferl.org/api/,no,yes,20
RAN,,no,no,0
Rare.org,https://rare.org/feed/,no,yes,2
Reasons to be Cheerful,https://reasonstobecheerful.world/feed/,no,yes,10
Red Cross Blog,,no,no,0
ReliefWeb,https://reliefweb.int/updates/rss.xml,no,yes,20
Reporters Without Borders,,no,no,0
RESET,,no,no,0
Roya News,https://en.royanews.tv/rss,no,yes,25
Rudaw.en,,no,no,0
sabah(en) - Daily Sabah,https://www.dailysabah.com/rss/home-page,no,yes,200
Saudi Gazette,https://saudigazette.com.sa/rssFeed/74,yes,yes,50
Saudi Press Agency,,no,no,0
Scaling Up Nutrition,https://scalingupnutrition.org/rss.xml,no,yes,10
Science Business,,no,no,0
Science Daily,https://www.sciencedaily.com/rss/all.xml,no,yes,60
ScienceNews,https://www.sciencenews.org/feed/,no,yes,20
Scientific American,http://rss.sciam.com/ScientificAmerican-Global,no,yes,50
SciTechDaily,https://scitechdaily.com/feed/,no,yes,24
Seattle Times,https://www.seattletimes.com/feed/,no,yes,34
Semafor,https://www.semafor.com/rss.xml,no,yes,200
Shafaq News,https://shafaq.com/en?rss=1,no,yes,25
Sierra Club,,no,no,0
Skift,https://skift.com/feed/,no,yes,10
Sky News,https://feeds.skynews.com/feeds/rss/home.xml,no,yes,6
Southern Poverty Law Center,,no,no,0
Space News,https://spacenews.com/feed/,no,yes,24
Space.com,https://www.space.com/feeds/all,no,yes,50
Special Olympics,https://www.specialolympics.org/index.rss,no,yes,5
Sports Illustrated,https://www.si.com/feed,yes,yes,82
STAT,https://www.statnews.com/feed/,no,yes,20
Straits Times,https://www.straitstimes.com/news/singapore/rss.xml,no,yes,49
Sunny Skyz,https://www.sunnyskyz.com/rss_tebow.php,no,yes,40
Sydney Morning Herald,https://www.smh.com.au/rss/feed.xml,yes,yes,20
Syndigate - Boston.com,https://www.boston.com/feed/,yes,yes,10
Syria Direct,https://syriadirect.org/feed/,no,yes,10
Syrian Arab News Agency (EN),https://sana.sy/en/?feed=rss2,no,yes,10
Tablet,,no,no,0
Tasnim,,no,no,0
TechCrunch,https://techcrunch.com/feed/,no,yes,20
TED Magazine,https://ideas.ted.com/feed/,no,yes,7
Tehran Times,https://www.tehrantimes.com/rss,no,yes,30
Telegraph,,yes,no,0
Telegraph India,,yes,no,0
The 19th,https://19thnews.org/feed/,no,yes,20
The Algemeiner,https://www.algemeiner.com/feed/,no,yes,10
The Arc,https://thearc.org/feed/,no,yes,10
The Borgen Project,,no,no,0
The Boston Globe,,yes,no,0
The Carbon Brief,https://www.carbonbrief.org/feed/,no,yes,12
The Chronicle,https://www.philanthropy.com/feed/,no,yes,10
The Conversation,https://theconversation.com/articles.atom,no,yes,50
The Conversation AU,https://theconversation.com/au/articles.atom,no,yes,50
The Conversation US,https://theconversation.com/us/articles.atom,no,yes,50
The Diplomat,https://thediplomat.com/feed/,no,yes,96
The Environmental Magazine,,no,no,0
The Global Fund,https://www.theglobalfund.org/data/rss-feeds/latest/,no,yes,10
The Good News Movement,,no,no,0
The Guardian,Guardian Content API,yes,yes,50
The Hechinger Report,https://hechingerreport.org/feed/,no,yes,10
The Hill,https://thehill.com/feed/,no,yes,100
The Independent,https://www.independent.co.uk/rss,yes,yes,100
The National,https://www.thenationalnews.com/arc/outboundfeeds/rss/?outputType=xml,no,yes,100
The Scientist,,no,no,0
The Standard,https://www.standard.co.uk/rss,no,yes,100
The Standard.hk,,no,no,0
The Times,,yes,no,0
Time Magazine,https://time.com/feed/,no,yes,25
Time Out,,no,no,0
Times of India,https://timesofindia.indiatimes.com/rssfeedmostrecent.cms,yes,yes,50
Times of India - Times Now,https://www.timesnownews.com/feeds/gns-en-latest.xml,yes,yes,100
Times of Israel,https://www.timesofisrael.com/feed/,no,yes,13
Times of Oman,https://timesofoman.com/feed/,no,yes,30
Tiny Buddha,https://tinybuddha.com/feed/,no,yes,10
Today,,no,no,0
Toronto Star,https://www.thestar.com/search/?f=rss&t=article&l=25&s=start_time&sd=desc,no,yes,25
Travel and Leisure,,no,no,0
TravelPulse,,no,no,0
"Triple Pundit: People, Planet, Profit",https://triplepundit.com/feed/,no,yes,10
TRT World,https://www.trtworld.com/feed/rss.xml,no,yes,100
UN & Peoples,https://www.un.org/rss.xml,no,yes,10
UN CDF,,no,no,0
UN Children and Armed Conflict,,no,no,0
UN Chronicle,https://un.org/rss.xml,no,yes,10
UN Crime and Justice Research Institute,https://unicri.it/rss.xml,no,yes,10
UN DESA,https://www.un.org/rss.xml,no,yes,10
UN Development Coordination Office,,no,no,0
UN ECA,http://www.uneca.org/rss.xml,no,yes,10
UN ECLAC,,no,no,0
UN Economic and Social Commission for Western Asia,,no,no,0
UN Habitat,https://unhabitat.org/rss.xml,no,yes,10
UN International Organization for Migration,,no,no,0
UN ITAR,,no,no,0
UN OCT,https://www.un.org/rss.xml,no,yes,10
UN ODA,,no,no,0
UN Office for Partnerships,https://un.org/rss.xml,no,yes,10
UN Office for the Coordination of Humanitarian Affairs,https://unocha.org/rss.xml,no,yes,10
UN Peacekeeping,,no,no,0
UN PRI,,no,no,0
UN V.A. Children,,no,no,0
UN Volunteers,https://unv.org/rss.xml,no,yes,10
UN Water,https://www.unwater.org/rss.xml,no,yes,10
UN Women,https://unwomen.org/rss.xml,no,yes,10
UNAIDS,https://unaids.org/rss.xml,no,yes,10
UNCTAD,,no,no,0
UNEP FI,https://www.unepfi.org/feed/,no,yes,10
UNFPA,https://unfpa.org/rss.xml,no,yes,10
UNIDO,,no,no,0
Union of Concerned Scientists,https://blog.ucsusa.org/feed/,no,yes,24
United Nation Human Rights,,no,no,0
United Nations,https://news.un.org/feed/subscribe/en/news/all/rss.xml,no,yes,30
United Nations Children's Fund (UNICEF),,no,no,0
United Nations Convention to Combat Desertification,https://unccd.int/rss.xml,no,yes,10
United Nations Development Program,,no,no,0
"United Nations Educational, Scientific and Cultural Organization",,no,no,0
United Nations Environment Programme,https://unep.org/rss.xml,no,yes,10
United Nations Institute for Disarmament Research,https://unidir.org/feed/,no,yes,24
United Nations Office for Disaster Risk Reduction,,no,no,0
United Nations Refugee Agency,,no,no,0
United Nations System Staff College (UNSSC),,no,no,0
United Nations University (UNU),,no,no,0
University of Pennsylvania,https://penntoday.upenn.edu/rss.xml,no,yes,10
UNODC,https://www.unodc.org/unodc/feed/stories.xml,no,yes,10
UNOPS,,no,no,0
Upworthy,https://www.upworthy.com/feeds/feed.rss,no,yes,10
US Environmental Protection Agency,,no,no,0
US News & World Report,,no,no,0
USA Today,,no,no,0
USAID,,no,no,0
USHMM,,no,no,0
Vera,,no,no,0
Vogue,https://www.vogue.com/feed/rss,no,yes,30
Vogue Arabia,https://www.voguearabia.com/feed/rss,no,yes,30
Vogue.uk,https://www.vogue.co.uk/feed/rss,no,yes,50
WABC New York City,https://abc7ny.com/feed/,no,yes,20
Wanderlust,https://www.wanderlustmagazine.com/feed/,no,yes,25
Washington Blade,https://www.washingtonblade.com/feed/,no,yes,10
Washington Post,https://feeds.washingtonpost.com/rss/national,yes,yes,6
Water World,https://www.waterworld.com:443/__rss/website-scheduled-content.xml?input=%7B%22sectionAlias%22%3A%22home%22%7D,no,yes,25
WiesenthalCenter,,no,no,0
Winnipeg Free Press,https://www.winnipegfreepress.com/rss?path=/breakingnews,no,yes,10
WIPO,,no,no,0
Women's Agenda,https://womensagenda.com.au/feed/,no,yes,12
Women's Refugee,https://www.womensrefugeecommission.org/feed/,no,yes,10
World Bank,,no,no,0
World Business Council for Sustainable Development (WBCSD),https://wbcsd.org/feed/,no,yes,10
World Central Kitchen,,no,no,0
World Conservation Union (IUCN),https://iucn.org/rss.xml,no,yes,4
World Eco Forum,,no,no,0
World Food Programme,,no,no,0
World Health Organization,https://www.who.int/rss-feeds/news-english.xml,no,yes,25
World Israel News,https://worldisraelnews.com/feed/,no,yes,16
World Jewish Congress,https://worldjewishcongress.org/rss,no,yes,30
World Land Trust,,no,no,0
World Meteorological Organization,,no,no,0
World Wildlife Foundation,,no,no,0
WTO,,no,no,0
WWF Canada,https://wwf.ca/feed/,no,yes,10
Yale University,https://news.yale.edu/news-rss,no,yes,10
Yeni Safak.en,https://www.yenisafak.com/en/rss,no,yes,60
Ynet News - Israel,https://www.ynetnews.com/Integration/StoryRss3082.xml,no,yes,30
YourStory,https://yourstory.com/feed,no,yes,20
Zawya,,no,no,0
